date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:53	321/321	---MCZ	200	added ('OK')	text/plain	etag:W/%22283-77qeWJwLEXuX/oGchVx7IpxCbqY%22	https://www.futbolsites.net/robots.txt		(from )
13:19:53	1844128/1844128	---MCZ	200	added ('OK')	text/html	etag:W/%220399aac45a4cbdf07cdb90cb13e170c0%22	https://www.futbolsites.net/	C:/Users/Cneo/Downloads/futbolmonteso/www.futbolsites.net/index.html	(from )
13:19:54	9645/9645	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202024%2002:52:48%20GMT	https://static.wixstatic.com/media/a323de_ac8c32caaa6c4092a914285407e1cacb~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/a323de_ac8c32caaa6c4092a914285407e1cacb~mv2.png	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_ac8c32caaa6c4092a914285407e1cacb_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/a323de_ac8c32caaa6c4092a914285407e1cacb_mv2.png	(from https://www.futbolsites.net/)
13:19:54	1711/1711	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202024%2002:52:48%20GMT	https://static.wixstatic.com/media/a323de_ac8c32caaa6c4092a914285407e1cacb~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/a323de_ac8c32caaa6c4092a914285407e1cacb~mv2.png	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_ac8c32caaa6c4092a914285407e1cacb_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/a323de_ac8c32caaa6c4092a914285407e1cacb_mv2.png	(from https://www.futbolsites.net/)
13:19:54	9212/9212	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Sep%202024%2019:19:54%20GMT	https://static.wixstatic.com/media/a323de_ac8c32caaa6c4092a914285407e1cacb~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/a323de_ac8c32caaa6c4092a914285407e1cacb~mv2.png	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_ac8c32caaa6c4092a914285407e1cacb_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/a323de_ac8c32caaa6c4092a914285407e1cacb_mv2.png	(from https://www.futbolsites.net/)
13:19:55	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Cneo/Downloads/futbolmonteso/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.futbolsites.net/)
13:19:55	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/Cneo/Downloads/futbolmonteso/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.futbolsites.net/)
13:19:56	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Sep%202024%2019:19:55%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/Users/Cneo/Downloads/futbolmonteso/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.futbolsites.net/)
13:19:56	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Sep%202024%2019:19:56%20GMT	https://www.futbolsites.net/c	C:/Users/Cneo/Downloads/futbolmonteso/www.futbolsites.net/c.6.delayed	(from https://www.futbolsites.net/)
13:19:57	2960/2960	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Sep%202024%2019:19:57%20GMT	https://www.futbolsites.net/t	C:/Users/Cneo/Downloads/futbolmonteso/www.futbolsites.net/t.7.delayed	(from https://www.futbolsites.net/)
13:20:01	1668126/1668126	---MCZ	200	added ('OK')	text/html	etag:W/%22d0ab1e5984135692c6b3f5832a7d59f4%22	https://www.futbolsites.net/es	C:/Users/Cneo/Downloads/futbolmonteso/www.futbolsites.net/es.html	(from https://www.futbolsites.net/)
13:20:04	1668011/1668011	---MCZ	200	added ('OK')	text/html	etag:W/%2296f915c52babc28cfd90f073e5f3fbeb%22	https://www.futbolsites.net/pt	C:/Users/Cneo/Downloads/futbolmonteso/www.futbolsites.net/pt.html	(from https://www.futbolsites.net/)
